Begin at: Tue May 19 13:32:57 EDT 2015, train start at: Tue Jan 27 22:34:47 EST 2015, test end at: Wed Mar 25 07:31:35 EDT 2015.
Author: UNEP, id: 38146999, #fols: 7644, #exs: 376.
******************************
AuthorId fId #pos #neg #userTweets
38146999 90150417 2 374 82
38146999 52891634 3 373 16588
38146999 235132405 30 346 218
38146999 844213226 5 371 291
38146999 3005625341 2 374 151
38146999 1572710797 2 374 124
38146999 1062961604 1 375 246
38146999 2883290704 3 373 658
38146999 2213910032 3 373 1338
38146999 612283149 1 375 4950
38146999 456583666 1 375 6435
38146999 110536886 1 375 7590
38146999 314276629 1 375 8036
38146999 551561755 2 374 405
38146999 459756547 1 375 594
38146999 624901629 1 375 117
38146999 456548377 1 375 360
38146999 362825739 1 375 95
38146999 54265978 4 372 210
38146999 91256176 1 375 188
38146999 1286458483 1 375 92
38146999 411930807 3 373 680
38146999 3058427393 7 369 941
38146999 1892979913 1 375 6531
38146999 616904486 2 374 381
38146999 48662820 1 375 76
38146999 48975408 1 375 1448
38146999 571051863 1 375 2950
38146999 75726124 1 375 1606
38146999 3039877076 1 375 3798
38146999 2950882709 1 375 187
38146999 196599991 3 373 986
38146999 367489515 1 375 21344
38146999 1116548774 2 374 17636
38146999 461555936 3 373 170
38146999 3035044060 0 376 6915
38146999 200640138 19 357 134
38146999 2854446948 1 375 814
38146999 1497166400 3 373 249
38146999 1382627982 1 375 41708
38146999 549688383 12 364 5350
38146999 1229340666 2 374 871
38146999 14799078 6 370 8986
38146999 319040095 1 375 54
38146999 163878122 1 375 408
38146999 840233028 1 375 517
38146999 2978403363 2 374 1356
38146999 923267750 2 374 148
38146999 1237638313 1 375 251
38146999 50292011 1 375 30
38146999 254513730 2 374 9096
38146999 236048462 2 374 330
38146999 88021334 6 370 75
38146999 3000019205 1 375 341
38146999 378403148 1 375 6
38146999 52355492 2 374 314
38146999 196973392 4 372 1571
38146999 2925485980 2 374 937
38146999 21458404 2 374 439
38146999 1587620568 1 375 395
38146999 2426128706 1 375 473
38146999 2422213681 1 375 24
38146999 2717978415 1 375 16
38146999 291575315 3 373 443
38146999 3012694856 1 375 732
38146999 202915398 4 372 6313
38146999 1092188288 17 359 5221
38146999 487392504 1 375 367
38146999 248419931 1 375 2157
38146999 243682951 2 374 1995
38146999 3061609050 2 374 13
38146999 294453595 5 371 5786
38146999 1958753047 2 374 161
38146999 2271466230 0 376 3322
38146999 31480713 1 375 5823
38146999 2854058153 5 371 223
38146999 483182308 2 374 79
38146999 583058439 1 375 745
38146999 368774680 21 355 11364
38146999 131296093 1 375 174
38146999 34758853 2 374 6632
38146999 52324798 1 375 799
38146999 395115516 1 375 1
38146999 2432526720 3 373 338
38146999 59479151 1 375 527
38146999 1387348369 1 375 87
38146999 187934022 1 375 13
38146999 156635427 3 373 497
38146999 707471875 1 375 21
38146999 269395266 1 375 659
38146999 2916248714 1 375 3162
38146999 2530370443 1 375 616
38146999 276448675 5 371 328
38146999 510833906 3 373 930
38146999 133037108 2 374 224
38146999 128278529 2 374 178
38146999 430709194 1 375 1094
38146999 1443670813 2 374 36
38146999 2497002188 1 375 105
38146999 605913597 2 374 499
38146999 251949170 1 375 2745
38146999 91398058 2 374 3210
38146999 249154790 7 369 677
38146999 193889818 1 375 745
38146999 3034763013 1 375 1002
38146999 190121033 3 373 8129
38146999 875908363 4 372 2130
38146999 36562121 1 375 4046
38146999 589929708 1 375 484
38146999 456020813 1 375 172
38146999 521673915 1 375 235
38146999 2494017540 1 375 1722
38146999 786996805 2 374 2631
38146999 613281379 1 375 146
38146999 121354501 1 375 171
38146999 2845240595 6 370 2038
38146999 117296900 2 374 18208
38146999 497375421 1 375 614
38146999 109063809 1 375 269
38146999 276713213 2 374 1802
38146999 1364417028 4 372 627
38146999 18212825 1 375 645
38146999 19819397 1 375 249
38146999 2453037647 2 374 437
38146999 379921752 1 375 461
38146999 2407461324 1 375 657
38146999 2338005468 1 375 40
38146999 2956962206 6 370 649
38146999 322476393 1 375 783
38146999 158457950 3 373 228
38146999 271339478 1 375 228
38146999 1226109205 1 375 1132
38146999 522151443 1 375 638
38146999 2570461169 1 375 2418
38146999 67873734 2 374 1719
38146999 558168055 1 375 4497
38146999 50362021 1 375 328
38146999 1160563836 1 375 64
38146999 58316805 3 373 4575
38146999 73488358 1 375 129
38146999 373049542 1 375 75
38146999 1416105739 1 375 154
38146999 2249697301 7 369 392
38146999 458760011 1 375 38
38146999 1722214158 1 375 779
38146999 2790173147 4 372 10581
